project_name,description,compliance_framework,scan_type,file_count,lines_of_code,issues_found,critical,high,medium,score
Project_141,Web application security audit,OWASP,deep,296,365146,9,1,0,8,82
Project_142,Web application security audit,PCI-DSS,deep,61,116855,2,2,0,0,80
Project_143,Web application security audit,GDPR,standard,449,73959,33,4,25,4,40
Project_144,Web application security audit,GDPR,deep,347,71607,22,3,0,19,51
Project_145,Web application security audit,GDPR,standard,170,270394,35,0,11,24,40
Project_146,Web application security audit,GDPR,deep,59,24734,2,2,0,0,80
Project_147,Web application security audit,PCI-DSS,deep,57,262351,22,1,2,19,63
Project_148,Web application security audit,ISO 27001,standard,233,47046,14,3,2,9,53
Project_149,Web application security audit,PCI-DSS,deep,445,200155,1,0,0,1,99
Project_150,Web application security audit,GDPR,deep,51,488898,22,5,10,7,40
Project_151,Web application security audit,OWASP,deep,409,237809,25,3,17,5,40
Project_152,Web application security audit,ISO 27001,standard,340,479616,34,3,24,7,40
Project_153,Web application security audit,GDPR,standard,77,242364,28,0,7,21,51
Project_154,Web application security audit,PCI-DSS,deep,283,338666,11,3,2,6,56
Project_155,Web application security audit,OWASP,deep,277,32383,2,0,0,2,98
Project_156,Web application security audit,PCI-DSS,standard,16,451444,20,4,5,11,40
Project_157,Web application security audit,ISO 27001,standard,85,127762,25,5,10,10,40
Project_158,Web application security audit,GDPR,standard,217,402976,9,5,3,1,40
Project_159,Web application security audit,OWASP,standard,272,410523,34,3,28,3,40
Project_160,Web application security audit,GDPR,deep,123,277682,0,0,0,0,100
Project_161,Web application security audit,GDPR,deep,145,193722,35,3,30,2,40
Project_162,Web application security audit,GDPR,standard,321,375547,33,2,1,30,46
Project_163,Web application security audit,PCI-DSS,standard,484,412267,8,1,7,0,62
Project_164,Web application security audit,GDPR,standard,336,228589,7,0,7,0,72
Project_165,Web application security audit,PCI-DSS,deep,261,457355,3,2,1,0,76
Project_166,Web application security audit,ISO 27001,standard,371,160422,2,2,0,0,80
Project_167,Web application security audit,PCI-DSS,deep,248,456247,10,2,4,4,60
Project_168,Web application security audit,GDPR,deep,137,23974,9,2,4,3,61
Project_169,Web application security audit,ISO 27001,deep,15,478299,26,1,5,20,50
Project_170,Web application security audit,PCI-DSS,standard,85,313677,29,1,12,16,40
Project_171,Web application security audit,PCI-DSS,deep,19,445214,2,0,1,1,95
Project_172,Web application security audit,GDPR,deep,154,231483,11,3,4,4,50
Project_173,Web application security audit,PCI-DSS,deep,298,203884,6,4,0,2,58
Project_174,Web application security audit,ISO 27001,deep,427,47767,12,2,5,5,55
Project_175,Web application security audit,OWASP,deep,435,19154,36,5,25,6,40
Project_176,Web application security audit,PCI-DSS,deep,368,100790,3,0,2,1,91
Project_177,Web application security audit,ISO 27001,deep,466,217749,38,3,26,9,40
Project_178,Web application security audit,ISO 27001,standard,50,66994,10,0,6,4,72
Project_179,Web application security audit,OWASP,standard,430,347244,31,0,16,15,40
Project_180,Web application security audit,OWASP,deep,211,126436,18,0,8,10,58
Project_181,Web application security audit,OWASP,standard,183,128630,33,2,16,15,40
Project_182,Web application security audit,GDPR,deep,495,186864,34,1,31,2,40
Project_183,Web application security audit,OWASP,standard,446,415363,13,0,0,13,87
Project_184,Web application security audit,ISO 27001,deep,114,33642,27,1,25,1,40
Project_185,Web application security audit,OWASP,standard,12,360497,2,1,1,0,86
Project_186,Web application security audit,ISO 27001,standard,471,5690,19,0,11,8,48
Project_187,Web application security audit,PCI-DSS,deep,423,416641,1,1,0,0,90
Project_188,Web application security audit,PCI-DSS,standard,395,407493,40,2,2,36,40
Project_189,Web application security audit,OWASP,standard,141,130180,29,1,9,19,40
Project_190,Web application security audit,PCI-DSS,standard,389,275442,19,0,3,16,72
Project_191,Web application security audit,OWASP,deep,362,446885,33,3,5,25,40
Project_192,Web application security audit,GDPR,deep,298,449815,4,4,0,0,60
Project_193,Web application security audit,ISO 27001,deep,168,272016,17,0,17,0,40
Project_194,Web application security audit,OWASP,standard,462,90131,33,0,22,11,40
Project_195,Web application security audit,OWASP,standard,41,190508,3,0,0,3,97
Project_196,Web application security audit,GDPR,deep,397,488231,36,5,28,3,40
Project_197,Web application security audit,PCI-DSS,standard,443,224833,16,5,2,9,40
Project_198,Web application security audit,GDPR,deep,90,439756,6,2,3,1,67
Project_199,Web application security audit,PCI-DSS,deep,152,411182,1,0,0,1,99
Project_200,Web application security audit,ISO 27001,standard,113,299395,10,2,1,7,69
Project_201,Web application security audit,OWASP,standard,395,313001,20,4,11,5,40
Project_202,Web application security audit,ISO 27001,deep,156,232051,16,0,0,16,84
Project_203,Web application security audit,OWASP,deep,396,354467,23,0,17,6,40
Project_204,Web application security audit,PCI-DSS,deep,455,462580,4,2,1,1,75
Project_205,Web application security audit,GDPR,deep,62,499551,12,3,0,9,61
Project_206,Web application security audit,OWASP,deep,213,291587,22,1,20,1,40
Project_207,Web application security audit,OWASP,deep,228,265863,39,0,39,0,40
Project_208,Web application security audit,OWASP,deep,144,94017,36,2,13,21,40
Project_209,Web application security audit,GDPR,standard,389,492493,14,4,0,10,50
Project_210,Web application security audit,GDPR,standard,130,91933,40,1,11,28,40
Project_211,Web application security audit,OWASP,standard,112,160388,35,0,2,33,59
Project_212,Web application security audit,GDPR,deep,184,485959,22,0,8,14,54
Project_213,Web application security audit,GDPR,standard,496,493690,35,1,18,16,40
Project_214,Web application security audit,OWASP,standard,115,271527,12,4,1,7,49
Project_215,Web application security audit,GDPR,standard,64,468935,32,4,4,24,40
Project_216,Web application security audit,GDPR,standard,168,480968,37,0,12,25,40
Project_217,Web application security audit,PCI-DSS,deep,190,194278,22,1,17,4,40
Project_218,Web application security audit,OWASP,standard,208,432949,26,0,16,10,40
Project_219,Web application security audit,ISO 27001,deep,123,272398,38,5,30,3,40
Project_220,Web application security audit,ISO 27001,standard,468,28446,16,5,2,9,40
Project_221,Web application security audit,ISO 27001,deep,479,466613,14,3,3,8,50
Project_222,Web application security audit,ISO 27001,deep,355,192140,20,1,8,11,47
Project_223,Web application security audit,OWASP,deep,153,86138,8,0,8,0,68
Project_224,Web application security audit,PCI-DSS,deep,296,290959,31,3,3,25,40
Project_225,Web application security audit,ISO 27001,standard,228,332924,28,1,7,20,42
Project_226,Web application security audit,ISO 27001,deep,436,475181,17,3,0,14,56
Project_227,Web application security audit,ISO 27001,standard,467,380515,23,1,20,2,40
Project_228,Web application security audit,ISO 27001,deep,130,239779,24,0,11,13,43
Project_229,Web application security audit,PCI-DSS,standard,36,435866,24,1,15,8,40
Project_230,Web application security audit,ISO 27001,deep,75,430161,35,1,3,31,47
Project_231,Web application security audit,ISO 27001,deep,337,269822,22,0,12,10,42
Project_232,Web application security audit,PCI-DSS,standard,21,285794,29,5,6,18,40
Project_233,Web application security audit,ISO 27001,standard,157,392825,10,2,6,2,54
Project_234,Web application security audit,GDPR,deep,263,74872,24,5,6,13,40
Project_235,Web application security audit,GDPR,standard,476,119707,28,2,19,7,40
Project_236,Web application security audit,GDPR,deep,312,466084,18,2,5,11,49
Project_237,Web application security audit,GDPR,standard,87,132158,11,0,9,2,62
Project_238,Web application security audit,PCI-DSS,deep,422,116910,15,5,4,6,40
Project_239,Web application security audit,PCI-DSS,deep,10,95185,39,0,38,1,40
Project_240,Web application security audit,OWASP,standard,125,152593,30,4,5,21,40
Project_241,Web application security audit,PCI-DSS,standard,216,234024,40,1,22,17,40
Project_242,Web application security audit,PCI-DSS,deep,326,167935,17,1,3,13,65
Project_243,Web application security audit,ISO 27001,standard,96,20663,6,3,1,2,64
Project_244,Web application security audit,PCI-DSS,standard,129,211814,1,0,0,1,99
Project_245,Web application security audit,OWASP,deep,221,314312,29,0,22,7,40
Project_246,Web application security audit,ISO 27001,standard,146,43392,31,1,12,18,40
Project_247,Web application security audit,PCI-DSS,deep,401,355901,27,2,8,17,40
Project_248,Web application security audit,PCI-DSS,standard,161,383213,15,1,12,2,40
Project_249,Web application security audit,ISO 27001,standard,333,412604,39,0,30,9,40
Project_250,Web application security audit,GDPR,deep,255,367196,17,2,6,9,47
Project_251,Web application security audit,OWASP,deep,104,255040,19,5,3,11,40
Project_252,Web application security audit,ISO 27001,deep,268,179758,20,4,7,9,40
Project_253,Web application security audit,PCI-DSS,standard,261,241265,19,1,2,16,66
Project_254,Web application security audit,GDPR,deep,71,284559,12,2,2,8,64
Project_255,Web application security audit,PCI-DSS,deep,342,50677,19,3,14,2,40
Project_256,Web application security audit,OWASP,deep,386,478643,34,5,10,19,40
Project_257,Web application security audit,ISO 27001,standard,395,140790,11,5,6,0,40
Project_258,Web application security audit,PCI-DSS,deep,58,1592,12,4,6,2,40
Project_259,Web application security audit,ISO 27001,standard,162,266665,8,1,4,3,71
Project_260,Web application security audit,ISO 27001,deep,371,148934,0,0,0,0,100
Project_261,Web application security audit,PCI-DSS,deep,89,425133,29,2,8,19,40
Project_262,Web application security audit,ISO 27001,standard,445,268944,29,1,28,0,40
Project_263,Web application security audit,GDPR,standard,283,314020,40,4,26,10,40
Project_264,Web application security audit,OWASP,deep,255,307724,22,5,14,3,40
Project_265,Web application security audit,OWASP,deep,102,205484,3,1,0,2,88
Project_266,Web application security audit,OWASP,standard,380,103166,24,3,18,3,40
Project_267,Web application security audit,OWASP,standard,42,392532,38,2,3,33,40
Project_268,Web application security audit,ISO 27001,deep,127,419532,7,0,1,6,90
Project_269,Web application security audit,PCI-DSS,deep,414,24723,14,4,6,4,40
Project_270,Web application security audit,GDPR,deep,106,128274,40,0,32,8,40
Project_271,Web application security audit,OWASP,deep,38,443284,14,1,5,8,62
Project_272,Web application security audit,GDPR,standard,159,45328,4,1,3,0,78
Project_273,Web application security audit,PCI-DSS,deep,251,448417,28,4,7,17,40
Project_274,Web application security audit,GDPR,deep,172,397645,33,1,17,15,40
Project_275,Web application security audit,GDPR,deep,142,110384,37,4,28,5,40
Project_276,Web application security audit,OWASP,deep,111,17216,33,5,9,19,40
Project_277,Web application security audit,ISO 27001,deep,5,281777,6,4,1,1,55
Project_278,Web application security audit,GDPR,standard,245,23807,15,3,7,5,40
Project_279,Web application security audit,GDPR,deep,69,100040,39,2,28,9,40
Project_280,Web application security audit,OWASP,standard,455,200281,13,4,0,9,51
Project_281,Web application security audit,GDPR,standard,133,142711,12,5,7,0,40
Project_282,Web application security audit,OWASP,standard,58,309225,14,3,0,11,59
Project_283,Web application security audit,GDPR,standard,436,205266,0,0,0,0,100
Project_284,Web application security audit,ISO 27001,standard,487,159865,20,5,8,7,40
Project_285,Web application security audit,ISO 27001,standard,317,378253,34,1,22,11,40
Project_286,Web application security audit,PCI-DSS,deep,12,251159,16,4,4,8,40
Project_287,Web application security audit,GDPR,standard,392,133318,29,5,20,4,40
Project_288,Web application security audit,ISO 27001,deep,413,36541,22,5,1,16,40
Project_289,Web application security audit,OWASP,standard,20,327778,37,5,5,27,40
Project_290,Web application security audit,GDPR,standard,454,433839,13,4,0,9,51
Project_291,Web application security audit,OWASP,standard,143,102412,0,0,0,0,100
Project_292,Web application security audit,ISO 27001,standard,20,236053,30,5,9,16,40
Project_293,Web application security audit,GDPR,standard,454,194115,30,4,6,20,40
Project_294,Web application security audit,GDPR,standard,475,36973,15,4,1,10,46
Project_295,Web application security audit,GDPR,deep,389,388332,22,5,16,1,40
Project_296,Web application security audit,PCI-DSS,deep,46,436819,26,0,18,8,40
Project_297,Web application security audit,PCI-DSS,standard,39,345418,17,5,3,9,40
Project_298,Web application security audit,PCI-DSS,standard,468,459093,34,1,6,27,40
Project_299,Web application security audit,OWASP,standard,20,189655,23,1,12,10,40
Project_300,Web application security audit,OWASP,standard,187,459457,30,1,8,21,40
Project_301,Web application security audit,GDPR,deep,431,236543,18,2,15,1,40
Project_302,Web application security audit,ISO 27001,deep,433,427591,4,2,0,2,78
Project_303,Web application security audit,GDPR,deep,335,88395,25,4,13,8,40
Project_304,Web application security audit,OWASP,deep,148,352295,34,4,9,21,40
Project_305,Web application security audit,GDPR,standard,442,456365,34,4,5,25,40
Project_306,Web application security audit,GDPR,standard,335,266320,37,4,9,24,40
Project_307,Web application security audit,PCI-DSS,standard,380,293626,14,2,2,10,62
Project_308,Web application security audit,OWASP,standard,158,466140,29,0,25,4,40
Project_309,Web application security audit,GDPR,deep,19,92699,13,0,12,1,51
Project_310,Web application security audit,OWASP,standard,142,329386,4,1,3,0,78
Project_311,Web application security audit,GDPR,deep,370,337727,20,4,15,1,40
Project_312,Web application security audit,OWASP,standard,245,19257,4,1,2,1,81
Project_313,Web application security audit,ISO 27001,standard,359,37759,12,5,5,2,40
Project_314,Web application security audit,ISO 27001,standard,443,309289,4,3,1,0,66
Project_315,Web application security audit,PCI-DSS,deep,166,121071,2,0,0,2,98
Project_316,Web application security audit,PCI-DSS,deep,358,40019,3,2,0,1,79
Project_317,Web application security audit,GDPR,standard,80,219540,11,4,3,4,44
Project_318,Web application security audit,PCI-DSS,standard,282,107045,6,3,1,2,64
Project_319,Web application security audit,ISO 27001,deep,486,253709,38,3,23,12,40
Project_320,Web application security audit,GDPR,deep,318,264037,37,3,28,6,40
Project_321,Web application security audit,GDPR,deep,212,458215,32,5,20,7,40
Project_322,Web application security audit,GDPR,deep,149,389704,23,4,16,3,40
Project_323,Web application security audit,OWASP,standard,16,371572,5,5,0,0,50
Project_324,Web application security audit,PCI-DSS,deep,251,109515,3,3,0,0,70
Project_325,Web application security audit,ISO 27001,deep,241,154619,0,0,0,0,100
Project_326,Web application security audit,PCI-DSS,standard,252,159300,30,4,12,14,40
Project_327,Web application security audit,PCI-DSS,deep,234,375655,25,5,6,14,40
Project_328,Web application security audit,PCI-DSS,standard,265,87164,35,3,31,1,40
Project_329,Web application security audit,ISO 27001,deep,7,482935,39,5,32,2,40
Project_330,Web application security audit,OWASP,standard,399,487575,33,2,10,21,40
Project_331,Web application security audit,PCI-DSS,deep,288,217046,38,5,26,7,40
Project_332,Web application security audit,PCI-DSS,standard,69,342837,6,4,2,0,52
Project_333,Web application security audit,GDPR,standard,53,7091,23,2,0,21,59
Project_334,Web application security audit,PCI-DSS,standard,27,366496,29,0,10,19,41
Project_335,Web application security audit,GDPR,deep,456,170195,28,1,27,0,40
Project_336,Web application security audit,GDPR,deep,310,33876,16,5,5,6,40
Project_337,Web application security audit,GDPR,standard,318,261418,6,3,1,2,64
Project_338,Web application security audit,GDPR,standard,120,288632,16,3,12,1,40
Project_339,Web application security audit,ISO 27001,standard,499,148437,15,2,11,2,40
Project_340,Web application security audit,ISO 27001,standard,472,217053,32,2,10,20,40
Project_341,Web application security audit,GDPR,deep,246,187340,2,1,1,0,86
Project_342,Web application security audit,PCI-DSS,deep,172,263545,7,5,2,0,42
Project_343,Web application security audit,PCI-DSS,deep,175,482501,34,1,8,25,40
Project_344,Web application security audit,OWASP,standard,40,317303,13,3,8,2,40
Project_345,Web application security audit,ISO 27001,standard,382,485893,4,1,0,3,87
Project_346,Web application security audit,ISO 27001,standard,135,327789,22,3,17,2,40
Project_347,Web application security audit,OWASP,standard,90,273577,15,2,4,9,55
Project_348,Web application security audit,GDPR,deep,316,125074,29,4,8,17,40
Project_349,Web application security audit,PCI-DSS,deep,359,236204,29,4,2,23,40
Project_350,Web application security audit,ISO 27001,deep,287,63203,34,0,2,32,60
Project_351,Web application security audit,OWASP,deep,322,180234,6,3,2,1,61
Project_352,Web application security audit,OWASP,deep,319,166513,38,2,29,7,40
Project_353,Web application security audit,ISO 27001,standard,186,191567,10,4,3,3,45
Project_354,Web application security audit,PCI-DSS,standard,419,13611,16,3,6,7,40
Project_355,Web application security audit,OWASP,deep,268,251566,36,0,30,6,40
Project_356,Web application security audit,PCI-DSS,standard,457,355115,3,2,0,1,79
Project_357,Web application security audit,ISO 27001,standard,61,20197,25,1,17,7,40
Project_358,Web application security audit,PCI-DSS,standard,387,492542,31,1,26,4,40
Project_359,Web application security audit,PCI-DSS,deep,201,196498,27,5,12,10,40
Project_360,Web application security audit,PCI-DSS,deep,312,215661,27,4,4,19,40
Project_361,Web application security audit,PCI-DSS,standard,249,97240,12,5,2,5,40
Project_362,Web application security audit,GDPR,standard,255,417114,27,5,18,4,40
Project_363,Web application security audit,OWASP,standard,155,436223,7,5,1,1,45
Project_364,Web application security audit,GDPR,standard,469,456231,24,4,18,2,40
Project_365,Web application security audit,GDPR,standard,269,154243,26,4,6,16,40
Project_366,Web application security audit,OWASP,standard,111,207153,15,1,12,2,40
Project_367,Web application security audit,OWASP,standard,450,468282,25,0,18,7,40
Project_368,Web application security audit,PCI-DSS,standard,108,494973,22,5,12,5,40
Project_369,Web application security audit,GDPR,deep,311,349538,32,2,12,18,40
Project_370,Web application security audit,GDPR,standard,282,408480,39,4,12,23,40
Project_371,Web application security audit,ISO 27001,deep,322,478809,36,5,30,1,40
Project_372,Web application security audit,OWASP,deep,254,25930,11,4,5,2,40
Project_373,Web application security audit,OWASP,deep,100,83804,18,0,14,4,40
Project_374,Web application security audit,PCI-DSS,deep,190,10366,11,2,1,8,68
Project_375,Web application security audit,OWASP,standard,190,336788,28,1,11,16,40
Project_376,Web application security audit,OWASP,standard,18,41354,2,1,0,1,89
Project_377,Web application security audit,OWASP,deep,234,79364,29,5,5,19,40
Project_378,Web application security audit,PCI-DSS,deep,12,276126,30,1,22,7,40
Project_379,Web application security audit,GDPR,deep,341,265720,3,0,3,0,88
Project_380,Web application security audit,GDPR,deep,38,461591,21,1,7,13,49
Project_381,Web application security audit,OWASP,deep,37,103330,10,1,8,1,57
Project_382,Web application security audit,GDPR,standard,378,80514,1,1,0,0,90
Project_383,Web application security audit,ISO 27001,standard,50,133971,30,3,0,27,43
